name,artist,album,album_type,release_date,duration,duration_ms,added_at,added_by_id,track_popularity,track_id,track_uri,artist_uris,artist_names,enriched,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artists_genres,artists_popularities,artists_avg_popularity
No Romance,"Full Crate, Niyah Delenn",A Kid From Yerevan,album,2023-06-02,3:30,210663,2023-06-08T06:44:22Z,1110446304,30,2JdSdfaE8VnycNzOU8Ec6y,spotify:track:2JdSdfaE8VnycNzOU8Ec6y,"['spotify:artist:0JeTRYMH7FoBiMcLXg1n8g', 'spotify:artist:0aIZRwzfvuB0fVsAiE5nho']","['Full Crate', 'Niyah Delenn']",True,0.568,0.495,5.0,-10.296,0.0,0.0688,0.404,0.000663,0.0841,0.53,77.964,4.0,"[['armenian hip hop', 'dutch r&b', 'indie r&b'], []]","[48, 13]",30.5
Big Tear,Pitou,Big Tear,album,2023-03-24,3:51,231853,2023-06-13T07:34:34Z,115458813,25,4IvOPTIQT2vXe2TZF6cuDS,spotify:track:4IvOPTIQT2vXe2TZF6cuDS,['spotify:artist:27aUOc2h4pz72oZen497Va'],['Pitou'],True,0.404,0.526,4.0,-7.442,1.0,0.0403,0.727,0.00911,0.278,0.248,90.108,4.0,[['dutch singer-songwriter']],[24],24.0
Zin In De Zomer Man,"Bizzey, Kraantje Pappie, Rolf Sanchez",Zin In De Zomer Man,single,2023-05-04,2:15,135694,2023-06-14T18:02:41Z,svdpal,49,1ThDzyepNdDRIYhU295DNd,spotify:track:1ThDzyepNdDRIYhU295DNd,"['spotify:artist:5GIcOzVFTNnzArytjmTkW8', 'spotify:artist:5yDkaiPTFbHGWCMXAEBt5Q', 'spotify:artist:3R6VoMjUANEP9wb7fRNXws']","['Bizzey', 'Kraantje Pappie', 'Rolf Sanchez']",True,0.663,0.795,0.0,-7.695,1.0,0.0411,0.0246,2.98e-06,0.0559,0.96,107.949,4.0,"[['dutch hip hop', 'dutch rap pop'], ['dutch hip hop'], ['dutch pop']]","[56, 56, 49]",53.66666666666666
Three Drums,Four Tet,Three Drums,single,2023-04-26,8:15,495858,2023-06-16T08:17:20Z,115458813,47,2FRIWWs5xxPoQrk5pMmsQN,spotify:track:2FRIWWs5xxPoQrk5pMmsQN,['spotify:artist:7Eu1txygG6nJttLHbZdQOh'],['Four Tet'],True,0.169,0.44,0.0,-10.385,1.0,0.0277,0.149,0.169,0.126,0.113,95.896,4.0,"[['electronica', 'folktronica', 'indietronica', 'intelligent dance music', 'trip hop']]",[61],61.0
Couldn’t Make It Up,Ben Howard,Is It?,album,2023-06-16,3:55,235453,2023-06-19T13:49:14Z,1110446304,47,4tzcqWOSnJhmiE0NbY6K8I,spotify:track:4tzcqWOSnJhmiE0NbY6K8I,['spotify:artist:5schNIzWdI9gJ1QRK8SBnc'],['Ben Howard'],True,0.646,0.761,11.0,-7.349,0.0,0.0376,0.145,0.0344,0.0908,0.632,89.964,4.0,"[['british singer-songwriter', 'folk-pop', 'indie folk']]",[63],63.0
Obsessed (Demo),LAUREL,Obsessed (Demo),single,2022-09-06,2:25,145973,2023-06-19T16:04:25Z,svdpal,31,4YgCYmJV3Qb5mzSc5BPjwI,spotify:track:4YgCYmJV3Qb5mzSc5BPjwI,['spotify:artist:6y6iXD929Jqq0xc6lgwhl1'],['LAUREL'],True,0.795,0.641,3.0,-5.972,0.0,0.0427,0.516,0.676,0.221,0.617,119.947,4.0,[['vapor pop']],[48],48.0
Sliver of Ice,"ANOHNI, Antony and the Johnsons",Sliver of Ice,single,2023-06-13,3:41,221760,2023-06-22T06:49:19Z,115458813,23,1n5SYXmd3OPE1nlHfoKE47,spotify:track:1n5SYXmd3OPE1nlHfoKE47,"['spotify:artist:6VJZYivuYJGCrPuOAnI7Qo', 'spotify:artist:4fxp616ALtFWnXfwxnjLzW']","['ANOHNI', 'Antony and the Johnsons']",True,0.361,0.145,1.0,-15.759,1.0,0.0418,0.94,0.000259,0.111,0.0766,150.968,4.0,"[['art pop', 'chamber psych', 'experimental pop', 'metropopolis', 'transpop'], ['baroque pop', 'chamber pop', 'melancholia']]","[49, 48]",48.5
Family (with Suzanna Son),"The Weeknd, Suzanna Son",The Idol Episode 2 (Music from the HBO Original Series),single,2023-06-12,3:03,183884,2023-06-22T07:14:01Z,1110446304,55,1CatlSR0Kh0hsvGF2Z8l3s,spotify:track:1CatlSR0Kh0hsvGF2Z8l3s,"['spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ', 'spotify:artist:0KVIja3XDIh9zXkKO2FI2A']","['The Weeknd', 'Suzanna Son']",True,0.406,0.348,9.0,-7.086,0.0,0.0285,0.863,0.000302,0.12,0.105,139.209,3.0,"[['canadian contemporary r&b', 'canadian pop', 'pop'], []]","[94, 52]",73.0
People (feat. Cian Ducrot),"Libianca, Cian Ducrot",People (Remixes),single,2023-03-31,3:04,184633,2023-06-22T18:17:04Z,115458813,62,0SCOKZU2gpsrvLa4T1VStt,spotify:track:0SCOKZU2gpsrvLa4T1VStt,"['spotify:artist:7kjSuFGKhLm8b5qXoMhRkJ', 'spotify:artist:49jTY62Cpw3RYo4dLuG43W']","['Libianca', 'Cian Ducrot']",True,0.601,0.398,10.0,-8.755,0.0,0.0463,0.584,0.0,0.107,0.707,197.88,4.0,"[['afrobeats'], ['irish pop', 'singer-songwriter pop']]","[68, 65]",66.5
Relax My Eyes,"ANOTR, Abel Balder",Relax My Eyes,single,2022-11-04,3:12,192150,2023-06-22T18:41:43Z,115458813,75,5u4hhtZ7f4rWkMZEZcTKrH,spotify:track:5u4hhtZ7f4rWkMZEZcTKrH,"['spotify:artist:4p5WgeiPSPpqPDs7T6OkWf', 'spotify:artist:0jqbEIAvdjUOi5Za48pzQG']","['ANOTR', 'Abel Balder']",True,0.747,0.616,3.0,-9.76,0.0,0.0324,0.176,0.116,0.143,0.908,131.975,4.0,"[['dutch tech house'], []]","[58, 57]",57.5
Burn Dem Bridges,Skin On Skin,Burn Dem Bridges,single,2022-08-12,2:55,175676,2023-06-25T09:15:46Z,115458813,58,5r2620VyMS4JpB9UhmYjpG,spotify:track:5r2620VyMS4JpB9UhmYjpG,['spotify:artist:5mnxMXIM6BNhVVTXnBatKa'],['Skin On Skin'],True,0.713,0.837,11.0,-5.96,0.0,0.0368,0.0283,0.0,0.0722,0.351,137.979,4.0,[['australian techno']],[44],44.0
